,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,24,37,-0.21311475060467622,0.04215618518164742,12.43939393939394,0.48721071863581,5.1706418632119,12.43939393939394,400,818,2.789473684210526,3,7.397310513447433
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,10,3,0.5384614970414233,0.03350515455282177,16.615384615384617,0.49074074074074076,6.842450142450144,16.615384615384617,106,215,2.7884615384615383,3,7.1720930232558135
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,34,47,-0.16049382517908858,0.057815845783143575,11.46031746031746,0.4515235457063712,4.7647364024095324,11.46031746031746,326,718,2.498583569405099,12,6.784122562674095
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,18,24,-0.1428571394557824,0.04735062001426086,12.81578947368421,0.4722792607802875,5.3152274937858,12.81578947368421,230,482,2.68640350877193,5,7.04149377593361
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,36,54,-0.1999999977777778,0.06474820139226747,13.607142857142858,0.494750656167979,5.640757405324335,13.607142857142858,377,762,2.6893333333333334,3,7.223097112860892
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,36,34,0.028571428163265314,0.05116959060587018,14.477272727272727,0.46938775510204084,5.978664192949907,14.477272727272727,299,636,2.552380952380952,6,6.834905660377358
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,7,0,0.9999998571428775,0.01977401124357624,23.666666666666668,0.539906103286385,9.68262910798122,23.666666666666668,115,213,2.7535545023696684,1,7.47887323943662
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,28,2,0.8666666377777787,0.03870967736940687,12.382352941176471,0.42280285035629456,5.122062316613107,12.382352941176471,178,418,2.5349397590361447,3,6.832535885167464
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,40,52,-0.1304347811909263,0.07634854765448253,16.7027027027027,0.5048543689320388,6.883022828653897,16.7027027027027,312,618,2.687086092715232,4,7.309061488673139
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,37,25,0.19354838397502608,0.06478578885602321,13.028571428571428,0.34868421052631576,5.350902255639098,13.028571428571428,159,454,2.379157427937916,38,6.433920704845815
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,13,36,-0.4693877455226991,0.03775038517892882,13.12962962962963,0.4894217207334274,5.447620540145223,13.12962962962963,347,709,2.651537335285505,1,7.218617771509168
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,26,29,-0.05454545355371903,0.04204892963146106,12.089285714285714,0.5096011816838996,5.039554758387846,12.089285714285714,345,675,2.6864784546805347,1,7.321481481481482
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,36,51,-0.17241379112168057,0.06556141668005921,12.927272727272728,0.49929676511954996,5.370627796956911,12.927272727272728,355,710,2.6623748211731044,2,7.236619718309859
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,24,21,0.06666666518518523,0.04241281805616134,14.538461538461538,0.48148148148148145,6.007977207977208,14.538461538461538,273,566,2.577264653641208,8,7.035335689045937
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,57,47,0.09615384522928995,0.054823405348010855,12.333333333333334,0.4521829521829522,5.114206514206515,12.333333333333334,435,958,2.5267094017094016,3,6.764091858037578
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,29,39,-0.14705882136678206,0.03752759379827395,13.539473684210526,0.48104956268221577,5.608209298757097,13.539473684210526,495,1029,2.6278825995807127,3,6.792031098153547
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,33,25,0.1379310321046374,0.05291970798091267,20.20689655172414,0.3054607508532423,8.204942921030954,20.20689655172414,179,586,2.2330960854092528,43,5.994880546075085
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,50,65,-0.13043478147448018,0.05497131928538656,15.068493150684931,0.48,6.219397260273973,15.068493150684931,528,1098,2.608372093023256,8,7.134790528233151
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,52,52,0.0,0.06675224642698828,9.209876543209877,0.4008042895442359,3.8442723331016455,9.209876543209877,299,737,2.427027027027027,8,6.466757123473541
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,13,14,-0.037037035665294975,0.049090909001652895,13.083333333333334,0.5063694267515924,5.435881104033971,13.083333333333334,159,314,2.8949152542372882,2,7.601910828025478
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,56,91,-0.23809523647554262,0.057624460973099,14.34,0.4581589958158996,5.91926359832636,14.34,657,1431,2.5010956902848793,7,6.809224318658281
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,60,64,-0.032258064255983356,0.06550449019254913,12.852941176470589,0.38672768878718533,5.295867546103111,12.852941176470589,338,867,2.353757225433526,35,6.3656286043829295
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,52,66,-0.11864406679115198,0.05608365016345834,10.705882352941176,0.45604395604395603,4.464770523594053,10.705882352941176,498,1088,2.536259541984733,13,6.711397058823529
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,61,80,-0.13475177209395905,0.06650943393089179,13.804878048780488,0.4726148409893993,5.710997155907955,13.804878048780488,535,1130,2.5750452079566,8,6.891150442477876
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,31,41,-0.13888888695987658,0.05483625281429074,11.694915254237289,0.4608695652173913,4.862313927781873,11.694915254237289,318,687,2.6387596899224808,8,6.8282387190684135
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,65,17,0.5853658465199287,0.03675481845058054,16.636363636363637,0.5127504553734062,6.859645636694818,16.636363636363637,563,1096,2.7154850746268657,3,7.25
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,24,24,0.0,0.04240282681766534,16.22222222222222,0.4777397260273973,6.679984779299848,16.22222222222222,279,583,2.6470588235294117,4,7.025728987993139
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,45,83,-0.2968749976806641,0.07706201079045032,13.430769230769231,0.4765177548682703,5.562914794255001,13.430769230769231,416,869,2.660377358490566,7,7.072497123130034
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,13,17,-0.13333332888888902,0.05780346809671779,14.052631578947368,0.5168539325842697,5.827794204612656,14.052631578947368,138,266,2.7849056603773583,3,7.526315789473684
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13,6,0.36842103324099823,0.026950354571701626,13.931034482758621,0.49504950495049505,5.770433595083647,13.931034482758621,200,404,2.7810026385224274,2,7.155940594059406
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,31,59,-0.31111110765432104,0.04563894521012224,20.527272727272727,0.4286979627989371,8.382388276028667,20.527272727272727,484,1129,2.7176901924839596,3,7.1186891054030115
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,97,32,0.5038759650862329,0.0622887493663502,14.763157894736842,0.4857397504456328,6.099559058072991,14.763157894736842,545,1117,2.596745027124774,1,7.062667860340197
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,39,22,0.2786885200214997,0.03460011342336919,12.970149253731343,0.48331415420023016,5.38138536317263,12.970149253731343,420,867,2.701900237529691,7,7.158016147635525
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,35,20,0.2727272677685951,0.05907626202032625,17.129032258064516,0.5781544256120528,7.082874673470627,17.129032258064516,307,531,2.866156787762906,1,7.593220338983051
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,13,10,0.1304347769376184,0.04063604233103173,20.533333333333335,0.5357142857142857,8.427619047619048,20.533333333333335,165,307,2.8947368421052633,5,7.501628664495114
